Subtown,Town
Abington,Pomfret
Amity,New Haven
Amston,Hebron
Baileyville,Middletown
Bakersville,New Hartford
Ballouville,Killingly
Baltic,Sprague
Banksville,Greenwich
Bantam,Litchfield
Barnum,Bridgeport
Barry Square,Hartford
Beardsley,Bridgeport
Belden,Norwalk
Biseli,South Windsor
Bishop's Corner,West Hartford
Blue Hills,Hartford
Botsford,Newtown
Broad Brook,East Windsor
Brookfield Center,Brookfield
Buckland,Manchester
Byram,Greenwich
Candlewood,Danbury
Canton Center,Canton
Centerbrook,Essex
Centerville,Hamden
Central,Hartford
Central Village,Plainfield
Coast Guard Acad,New London
Cobalt,East Hampton
Collinsville,Canton
Conn College,New London
Cornwall Bridge,Cornwall
Cos Cob,Greenwich
Danielson,Killingly
Dayville,Killingly
Devon,Milford
East  Hartland,Hartland
East Berlin,Berlin
East Canaan,North Canaan
East Derby,Derby
East End,Waterbury
East Glastonbury,Glastonbury
East Killingly,Killingly
East Morris,Morris
East Putnam,Putnam
East Windsor Hill,South Windsor
East Woodstock,Woodstock
Elmwood,West Hartford
Fabyan,Thompson
Fair Haven,New Haven
Falls Village,Canaan
Fitchville,Bozrah
Forestville,Bristol
Gales Ferry,Ledyard
Gayesville,Wallingford
Gaylordsville,New Milford
Georgetown,Redding
Gilman,Bozrah
Glasgo,Griswold
Glenbrook,Stamford
Glenville,Greenwich
Greens Farms,Westport
Grosvenor Dale,Thompson
Groton City,Groton
Groton Long Point,Groton
Hadlyme,Lyme
Hanover,Sprague
Hawleyville,Newtown
Hazardville,Enfield
Higganum,Haddam
Hillside,Bridgeport
Hotchkiss School,Salisbury
Huntington,Shelton
Ivoryton,Essex
Jewett City,Griswold
Kensington,Berlin
Lakeside,Morris
Lakeville,Salisbury
Lyme Rock,Litchfield
Mansfield Center,Mansfield
Mansfield Depot,Mansfield
Marble Dale,Washington
Marion,Southington
Mechanicsville,Thompson
Melrose,East Windsor
Merrow,Mansfield
Mianus,Greenwich
Middle Haddam,East Hampton
Milldale,Southington
Moodus,East Haddam
Moosup,Plainfield
Mt Carmel,Hamden
Mystic,Stonington
n. Grosvenordale,Thompson
New Preston,Washington
Newfield,Bridgeport
Niantic,East Lyme
Noank,Groton
Noble,Bridgeport
Noroton,Darien
Noroton Heights,Darien
North Canton,Canton
North End,Waterbury
North Franklin,Franklin
North Granby,Granby
North Grosvenor Dale,Thompson
North Westchester,Colchester
North Windham,Windham
North Woodstock,Woodstock
Northfield,Litchfield
Northford,North Branford
Oakdale,Montville
Oakville,Watertown
Old Greenwich,Greenwich
Old Mystic,Stonington
Oneco,Sterling
Pawcatuck,Stonington
Pequabuck,Plymouth
Pine Meadow,New Hartford
Pine Rock Park,Shelton
Plantsville,Southington
Pleasant Valley,Barkhamsted
Pomfret Center,Pomfret
Poquetanuck,Preston
Poquonock,Windsor
Quaker Hill,Waterford
Quinebaug,Thompson
Redding Ridge,Redding
Ridgeway,Stamford
Riverside,Greenwich
Riverton,Barkhamsted
Rockfall,Middlefield
Rockville,Vernon
Rogers,Killingly
Rowayton,Norwalk
Samp Mortar,Fairfield
Sandy Hook,Newtown
Saugatuck,Westport
Short Beach,Branford
Somersville,Somers
South Britain,Southbury
South Glastonbury,Glastonbury
South Kent,Kent
South Killingly,Killingly
South Lyme,Old Lyme
South Meriden,Meriden
South Norwalk,Norwalk
South Willington,Willington
South Windham,Windham
South Woodstock,Woodstock
Southport,Fairfield
Springdale,Stamford
Stafford Springs,Stafford
Staffordville,Stafford
Stevenson,Monroe
Stony Creek,Branford
Storrs,Mansfield
Submarine Base,Groton
Taconic,Salisbury
Taftville,Norwich
Talcottville,Vernon
Tariffville,Simsbury
Terminal,New Haven
Terryville,Plymouth
Uncasville,Montville
Union City,Naugatuck
Unionville,Farmington
Unity Plaza,Hartford
Versailles,Sprague
Warehouse Point,East Windsor
Warrenville,Ashford
Washington Depot,Washington
Waterville,Waterbury
Wauregan,Plainfield
Weatogue,Simsbury
Wequetequock,Stonington
Wesleyan,Middletown
West Cornwall,Cornwall
West Granby,Granby
West Hartland,Hartland
West Mystic,Groton
West Norwalk,Norwalk
West Redding,Redding
West Simsbury,Simsbury
West Suffield,Suffield
West Willington,Willlington
Westville,New Haven
Whitneyville,Hamden
Wildermere Beach,Milford
Willimantic,Windham
Winchester Center,Winchester
Windsorville,East Windsor
Winsted,Winchester
Woodmont,Milford
Woodstock Valley,Woodstock
Yale,New Haven
Yalesville,Wallingford
Yantic,Norwich
East Norwalk,Norwalk
Wapping,South Windsor
New Preston Marble Dale,Washington
North Grosvenordale,Thompson
Storrs Mansfield,Mansfield
West Ashford,Ashford
West Stafford,Stafford
Haddam Neck,Haddam
Vernon Rockville,Vernon
East Hartland,Hartland
